ADEX_ID;DAT_QUELLE;BEZEICHNG;GDE_NAME;GDE_KENN;KOO_REFSYS;X_VON;Y_VON;X_BIS;Y_BIS;Z;GENAUIGK;BEGRUENDUNG;;DAT_FEIN;;;;;;;;;;;;;;;;;LITERATUR;LISTENTEXT
N° de site ADAB;base source;Nom du site;commune principale;code commune;système de projection;X de;Y de;X à;Y à;Z;précision;Etat des connaissances;occupation;datation précise début;datation précise fin;immo niv1;immo niv2;immo niv3;immo niv4;Profondeur des vestiges;immo_exp;mob niv1;mob niv2;mob niv3;mob niv4;mob_exp;prod niv1;prod niv2;prod niv3;prod_exp;Bibliographie;Remarques
BW_102687082;ADABweb;"Nimburg, Kapellenacker""""";Teningen;8316043;4326;7.7832242628;48.0893477445;7.7835977133;48.0898119798;0;non;Littérature prospecté;Unique;Mérovingien;Mérovingien;NULL;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102687082;NULL
BW_102950012;ADABweb;"Nimburg, Kapellenacker""""";Teningen;8316043;4326;7.7832081291;48.0895113542;7.7832081291;48.0895113542;0;non;Littérature prospecté;Unique;Mérovingien;Mérovingien;Funéraire;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Ortschronik Nimburg (1977) 11.
Hoeper, Alamann. Siedlungsgeschichte (2001) 281; 283f. ; Dossier : 102950012";NULL
BW_102946728;ADABweb;"Nimburg, Glatter Brunnen""""";Teningen;8316043;4326;7.7841988062;48.0847222863;7.7841988062;48.0847222863;0;non;Littérature prospecté;Unique;Fer indéterminé;Fer indéterminé;NULL;NULL;NULL;NULL;;NON;Lithique;Silex;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102946728;NULL
BW_102950908;ADABweb;"Nimburg, Germannsbreite""""";Teningen;8316043;4326;7.7823838084;48.0867350934;7.7823838084;48.0867350934;0;non;Littérature prospecté;Unique;Néolithique;Néolithique;NULL;NULL;NULL;NULL;;NON;Lithique;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Bad. Fundber. 17, 1941-47, 265.

Ortschronik Nimburg (1977) 10. ; Dossier : 102950908";NULL
BW_102951318;ADABweb;"Nimburg, Bruckmatten""""";Teningen;8316043;4326;7.7864812611;48.0908167687;7.7868720266;48.091008065;0;non;Littérature prospecté;Unique;Gallo-romain indéterminé;Gallo-romain indéterminé;Habitat;Indéterminé;Fosse;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Ortschronik Nimburg (1977) 11. ; Dossier : 102951318";NULL
BW_102960435;ADABweb;"Nimburg, Bruckmatten""""";Teningen;8316043;4326;7.7915787173;48.0901916585;7.7915787173;48.0901916585;0;non;Littérature prospecté;Unique;Gallo-romain indéterminé;Gallo-romain indéterminé;NULL;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Ortschronik Nimburg (1977) 11. ; Dossier : 102960435";NULL
BW_102892861;ADABweb;"Am Kenzelberg 1, Heimbach, Ortsetter""""";Teningen;8316043;4326;7.828397446;48.1611617415;7.8340563916;48.1660549069;0;non;Littérature prospecté;Unique;Moyen-âge;Moyen-âge;Habitat;Indéterminé;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102892861;NULL
BW_102892427;ADABweb;"Zehnthof 4, Heimbach, Ortsetter"", Alte Marienkirche""";Teningen;8316043;4326;7.8322192071;48.1633627862;7.8328175358;48.1636087756;0;non;Littérature prospecté;Unique;Moyen-âge;Moyen-âge;Rituel;Eglise;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102892427;NULL
BW_102943648;ADABweb;"Am Kindergarten 1, Köndringen, Ortsetter""""";Teningen;8316043;4326;7.8021377102;48.1368872903;7.8101187673;48.1409899807;0;non;Littérature prospecté;Unique;Moyen-âge;Moyen-âge;Habitat;Indéterminé;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102943648;NULL
BW_99562223;ADABweb;Teningen;Teningen;8316043;4326;7.7881481742;48.1161357015;7.7881481742;48.1161357015;0;non;Sondé;Unique;Gallo-romain indéterminé;Gallo-romain indéterminé;Habitat;Indéterminé;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 8-1-106;NULL
BW_102965697;ADABweb;"Nimburg, Umgehungstrasse""""";Teningen;8316043;4326;7.774142421;48.1078209294;7.774142421;48.1078209294;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;NULL;NULL;NULL;NULL;;NON;Céramique;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102965697;NULL
BW_102966785;ADABweb;"Nimburg, See""""";Teningen;8316043;4326;7.757577678;48.0905174874;7.757577678;48.0905174874;0;non;Littérature prospecté;Unique;Néolithique;Néolithique;NULL;NULL;NULL;NULL;;NON;Lithique;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Fundber. Baden-Württemberg 28/2, 2005, 100. ; Dossier : 102966785";NULL
BW_102960979;ADABweb;"Nimburg, Ortsetter""""";Teningen;8316043;4326;7.7746448538;48.1047480835;7.7785854407;48.1065855672;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;Voie;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102960979;NULL
BW_102993603;ADABweb;"Nimburg, Ortsetter""""";Teningen;8316043;4326;7.7756990635;48.1028041306;7.7759128102;48.1031656896;0;non;Littérature prospecté;Unique;Moyen-âge;Moyen-âge;Habitat ;Indéterminé;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Ortschronik Nimburg (1977) 11. ; Dossier : 102993603";NULL
BW_102946854;ADABweb;"Nimburg, Marchacker""""";Teningen;8316043;4326;7.7672799062;48.0945117479;7.7672799062;48.0945117479;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;Habitat;Indéterminé;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Ortschronik Nimburg (1977) 11. ; Dossier : 102946854";NULL
BW_102950067;ADABweb;"Nimburg, Landweg""""";Teningen;8316043;4326;7.7623649844;48.1057471063;7.7623649844;48.1057471063;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;NULL;NULL;NULL;NULL;;NON;Métal;Armement;Epée;NULL;NON;NULL;NULL;NULL;NON;dossier : 102950067;NULL
BW_102965425;ADABweb;"Nimburg, Klosen""""";Teningen;8316043;4326;7.7709420641;48.0967005522;7.7709420641;48.0967005522;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;NULL;NULL;NULL;NULL;;NON;NULL;Céramique;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102965425;NULL
BW_96972000;ADABweb;"Bahlingen, Nimburgerhag / Jungholz""""";Bahlingen;8316002;4326;7.7684990632;48.1107900662;7.7745330437;48.1197224194;0;non;Littérature prospecté;Unique;Gallo-romain indéterminé;Gallo-romain indéterminé;Voie;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Bad. Fundber. I, 1925-28, 364f.
J. Schneider, In: Ortschronik Nimburg (1977) 9f. ; Dossier : 96972000";NULL
BW_102979771;ADABweb;"Nimburg, Grossmatten""""";Teningen;8316043;4326;7.7632142365;48.1080666347;7.7634624738;48.1082676385;0;non;Littérature prospecté;Unique;Vérifier en remarque;Vérifier en remarque;NULL;NULL;NULL;NULL;;NON;Lithique;Silex;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102979771;NULL
BW_102993724;ADABweb;"Nimburg, Burg""""";Teningen;8316043;4326;7.7759388295;48.1016239328;7.7769737468;48.1020654387;0;non;Littérature prospecté;Unique;Gallo-romain indéterminé;Gallo-romain indéterminé;NULL;NULL;NULL;NULL;;NON;Céramique;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Fundber. Baden-Württemberg 28/2, 2005, 294. ; Dossier : 102993724";NULL
BW_102993826;ADABweb;"Nimburg, Burg""""";Teningen;8316043;4326;7.776416378;48.1014571855;7.7770352126;48.1017938312;0;non;Littérature prospecté;Unique;Moyen-âge;Moyen-âge;NULL;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102993826;NULL
BW_102994070;ADABweb;"Nimburg, Burg""""";Teningen;8316043;4326;7.7770783463;48.1021407378;7.7774625949;48.1023679145;0;non;Littérature prospecté;Unique;Fer indéterminé;Fer indéterminé;NULL;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102994070;NULL
BW_102994092;ADABweb;"Nimburg, Burg""""";Teningen;8316043;4326;7.7774469266;48.1023416315;7.7780973091;48.1025145862;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;NULL;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102994092;NULL
BW_102985556;ADABweb;"Nimburg, Burg""""";Teningen;8316043;4326;7.7771023836;48.1030256769;7.7771023836;48.1030256769;0;non;Littérature prospecté;Unique;Fer indéterminé;Fer indéterminé;NULL;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;"Bad. Fundber. 19, 1951, 239.
Ortschronik Nimburg (1977) 9.  ; Dossier : 102985556";NULL
BW_102949505;ADABweb;"Nimburg, Bahnstation""""";Teningen;8316043;4326;7.7618458461;48.1059040284;7.7618458461;48.1059040284;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;Voie;NULL;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102949505;NULL
BW_99485527;ADABweb;"Köndringen, Vierdörferwald"", Alt-Landeck""";Teningen;8316043;4326;7.8350304627;48.1520618552;7.8370408918;48.1529415756;0;non;Fouillé;Unique;Moyen-âge;Moyen-âge;Habitat;Fortifié;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 99485527;Il s'agit plus précisément d'un aménagement militaire
BW_102941275;ADABweb;"Köndringen, Ottenberg""""";Teningen;8316043;4326;7.8100670502;48.1381427451;7.8125356588;48.1395539542;0;non;Littérature prospecté;Unique;Indéterminé;Indéterminé;Funéraire;Nécropole tombes plates;NULL;NULL;;NON;NULL;NULL;NULL;NULL;NON;NULL;NULL;NULL;NON;dossier : 102941275;NULL
