;;"Association de mobiliers # Fundzusammenhang";
;;"Jetons # Jeton";
;;"Monnaies # Münzen";
;;"Ossements humains # Menschknochen";
;;"Ossements animaux # Tierknochen";
;;"Rouelles # Radamulett";
;;"Statuette # Statuette";
;;"Vases miniatures # Miniaturvasen";
;"Abbaye  # Kloster";"Arme mutilée # Waffen verbogen";
;;"Association de mobiliers # Fundzusammenhang";
;;"Jetons # Jeton";
;;"Monnaies # Münzen";
;;"Ossements humains # Menschknochen";
;;"Ossements animaux # Tierknochen";
;;"Rouelles # Radamulett";
;;"Statuette # Statuette";
;;"Vases miniatures # Miniaturvasen";
;"Eglise  # Kirche";"Arme mutilée # Waffen verbogen";
;;"Association de mobiliers # Fundzusammenhang";
;;"Jetons # Jeton";
;;"Monnaies # Münzen";
;;"Ossements humains # Menschknochen";
;;"Ossements animaux # Tierknochen";
;;"Rouelles # Radamulett";
;;"Statuette # Statuette";
;;"Vases miniatures # Miniaturvasen";
;"Temple # Tempel";"Arme mutilée # Waffen verbogen";
;;"Association de mobiliers # Fundzusammenhang";
;;"Jetons # Jeton";
;;"Monnaies # Münzen";
;;"Ossements humains # Menschknochen";
;;"Ossements animaux # Tierknochen";
;;"Rouelles # Radamulett";
;;"Statuette # Statuette";
;;"Vases miniatures # Miniaturvasen";
"Circulation # Verkehr";"Gué  # Furth";"Pente aménagée  # Steige";
;"Pont  # Brücke";"Pente aménagée  # Steige";
;"Voie # Wege";"Pente aménagée  # Steige";
;"Aménagement de berge  # Uferbefestigung";;
;"Borne  # Meilenstein";;
;"Quai  # Kai";;
"Structure agraire # Agrar";"Indéterminé # Unbestimmt";;
;"Champ bombé  # Wölbacker";;
;"Crêtes de labours  # Crêtes de labours";;
;"Enclos # Schanze";;
;"Terrasse agricole  # Ackerterrasse";;
;"Muret # Trennmauer";;
;"Murger  # Steinrudel ";;
;"Rideau de culture # Rideau de culture";;
